id,start,end,category,sub_category,summary,transcript
27,"00:17:30,440","00:18:33,240",1 Instruction,1.3 Validation,They discuss adjusting the camera or view for better visualization.,"Okay, now, right now let's switch our camera here to the ambo port, and then we'll do our epigastric port. That'll be our big one. Yep. What do we have? We have an 11 or 12. Do you wanna go to the, and we're gonna go like, um, so I think that's to the right of the, our policy. Yeah. I usually try to Google kind of through it. And I feel like for this you can never be like, I mean you can, but you can never really be too high. So I just think a little bit higher than you expect and then come through and then angle through FCI towards gallbladder, but kind of like coming. Can I see the other side of fie real quick? Just because I know. Dr. George when we went in last time too, you said it kind of angled almost come like a gray. Yeah, exactly. Crot like, like the, almost like the crotch over the fsy hangs down. So I'll take a, um, find your needle real quick. I feel like she's like catty head, so I think you're a little too low. Okay. Yeah. So you wanna come up higher? Okay. But you wanna come through here and then angle through that side. Okay. Yeah."
28,"00:18:46,145","00:20:20,890",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,"You might not be able to see it. You might be going through FAU can remember, but I think you're going mark to the skin. Remember, so you have landmarks for yourself. Okay. It's easier. I'm too lateral. It's just a, A small pearl. Yeah, just wherever you mark it, it's okay. But draw some landmarks for yourself. This is xiphoid right here. You wanting to be just a little bit up here and then almost like, so I actually don't think that's xiphoid, that's why I think you're off midline. Xiphos here. Yeah, OIDs here. We still want to go like medial to fallacy or Yeah. I would go like, you could go like right here and then when you put your port in, you'll come down and then you'll angle through fallacy that way. Okay. Draw a big line, three hash marks on it. Remember? Yep. That'll be fine. Yep. And then you use that as a reference when you're doing your needle there. You'll know where you're at when make a decision. Okay. Something I'm like, it's weird 'cause I, there you're, yeah, this is kind of actually where I wanted to come out. Like right there. Yeah. Right on that side of f."
29,"00:20:37,075","00:23:06,150",1 Instruction,1.3 Validation,They discuss manipulating or exposing the gallbladder and surrounding tissue.,"In what size is this port again? This is gonna be, we're first gonna put in a five then no or no? 11. 11. Just, yeah. I was just asking. 11 or 12. Yeah. Okay. Sorry. No, you're good. I was asking Fine. We should talk about skin incisions at some point. Okay. That massive hemorrhage is avoidable. Okay. Remind problem and then, yeah, just watch. So you don't Skype too much. I usually try to come and, and then turn angle. Every angle you actually have a finder needle angle. Remember Exactly with angle. That wasn't the angle. It was that way. Yep. And it was slightly all elevated up. Yep. That was your angle. Go from the finer needle. If you do that, you'll come up where you want it's noise. Perfect. Back and then we'll switch the gas to here. Alright, let's see. Gallbladder. There she is. Okay. All right. Let's do our lateral track support. This is one I, um, think a lot about. Okay, Dr. George. So I just wanna double check that I don't put this in the wrong spot. So you'll look a little more, um, inferior. Yep. Which one do you think lot about? Um, I'm thinking about my lateral and my second, my hand part. Yeah. That second board's really critical. 'cause the operator, if it's too far away, their shoulder's painful. There's a lot of considerations. Is that an okay spot for the lateral cord? Yeah. We haven't done one of these before. Huh? This probably shouldn't. Not a while. One with you first. Nonetheless. Physically annoying, so, yeah. Yeah. So, uh, to you, I mean, not to me. Sorry. Oh, well it would probably not me too. So, uh, what I'd like to do is grab the gallbladder and, and so you take gallbladder and you have a knuckle of it and you'll go across, so your angle of that port needs to be so up. 'cause if your down too much, your, your ends are gonna be in the middle of the gallbladder. This, this is a gallbladder. Mm-hmm. If the ends are in there and then you push up it perforates there. Okay. So you want it all the way across, which means it needs to be down low enough to do that. Okay. So entirely depends on the anatomy of how tall the gallbladder is. That looks like once you elevate, you'll be in an angle that's going up. Mm-hmm. And there looks fine. If you need more room, you can go side, go upside down. Right. Would you go more down on the patient body wall? So it's more inferior go the more you lose your angle actually. Okay. Alright. So it's actually fine to be somewhat higher. Okay. Okay. Okay. I'll take the needle please."
30,"00:23:22,554","00:23:28,885",1 Instruction,1.1 Assessment,They confirm that the current action or position looks correct.,Okay. Okay.
31,"00:23:30,240","00:23:31,379",2 Management,2.2 Task assignment,They discuss procedural details or coordination during the operation.,Take the knife please.
32,"00:23:40,290","00:23:44,219",1 Instruction,1.1 Assessment,They confirm that the current action or position looks correct.,"Hemorrhage. Ah, okay. Thank you."
33,"00:23:46,139","00:23:46,800",1 Instruction,1.1 Assessment,They discuss procedural details or coordination during the operation.,"Mine your way, cat."
34,"00:23:58,014","00:24:01,370",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,All right. We'll see if that's okay. All right. Okay.
35,"00:24:02,030","00:24:12,440",3 Information management,3 Information management,They discuss placing or confirming clips on the cystic structures.,"Um, now we gotta do our other left hand port. Okay. You have another, um, no, we can take, we can just use this one and I can just towel, we'll do a towel clip. Okay."
36,"00:24:15,500","00:24:19,280",1 Instruction,1.1 Assessment,They confirm that the current action or position looks correct.,"Okay. So, Dr. George for this, um, left hand operating port,"
37,"00:24:25,370","00:24:28,190",1 Instruction,1.4 Point to errors / task,They point out a possible issue or give a corrective instruction.,my thought would be about here. So it's not in the way.
38,"00:24:30,560","00:24:30,950",1 Instruction,1.1 Assessment,They discuss procedural details or coordination during the operation.,So
39,"00:24:32,810","00:28:27,754",1 Instruction,1.3 Validation,They discuss adjusting the camera or view for better visualization.,"it's relatively in line. It's not blocking the camera. The better is 'cause you can kind of move things around without hitting camera and hitting your other instrument. Right. Okay. But the farther away you are, the worse it is on your left shoulder. Right. Because it's farther away from your axis. Okay. Um, so I actually will do one, one hand away from that one. Right? That's little. Yeah. So I would actually bias a little more. You're gonna find it's gonna be quite painful to your arm, otherwise, okay. The up and down piece is relevant also for your shoulder. The higher you are, the more triangulation spread there is. The more your arm's up like that, right? The lower you are, the more you're relaxed and have it where you want it. Okay. So it's all trade offs. There's no right answer in this, but don't, that seems like a reasonable experiment and then you're gonna feel how it feels to you. Okay? Okay. Could make it painful. Yeah, it might be, but I, that looks reasonable to me. Okay. You know, it's a little, little more I than I would go. But you're young. So, and strong. Am I strong? I hope so. She's young and strong. I don't know if you're strong. Yeah, me neither. Big and strong. He's the youngest and strongest. I may the weakest link on the team. I probably, I was gonna say you're older too with like, are you older? Are you nontraditional student research for a few years and then got a master's. I was, alright, we're gonna move the gas. You went straight? No, I did a two year fellowship up in Boston. Where? Uh, research fellowship In Boston. Research book? Yeah. Is that in Boston? As in like Harvard? Uh, I was in Boston. I was like through the Brigham. Oh, fancy. You can always tell someone from Harvard. That's not me. I didn't tell them much. Hello? That's not me. I was just, I'm joking. Yeah. I thought Good. Say again. I thought it was a good job. It's not that good. Okay. Speed. All right. Ports are in. Okay. It's this, uh, prestige. Prestige. Perfect. Thanks. You mind coming in, Kat? So there's, there's a, a weird technique that maybe do, once you get exposure, I'll, I'll show you how it do you, we a little head up. We do know what we did. It was inflamed was the one we did. Oh, sorry. I didn't, please. It's so you know how to do it then. Do you remember how to get the knuckle with like, that's good. The heating of like the, um, where like cough, you ock get a little knuckle. Knuckle. Boom. Remember that? Yeah. Kind of. I know. Yes. I remember us doing it. I don't know if I remember all the movements, but I remember like you talk, you got, can you get a hunter in your right hand? Yep. I'll, I'll help. You can grab what you grab. Oh, okay. That's fine. Cool. She's gonna grab it and hand it back to you in a meaningful way. That's not gonna be the real grab. Okay. Grab right next door. Now. Solid. Right there. Solid. Not too much. Just a little. And grab right there. There. Hard. Now pull If you don't slip. Okay, now you're gonna lift it up. Let go of your hand. Okay. Okay. Now go underneath her all the way across. Oh, yep. Now I remember this. The little baby bite and then the cross all the way across. Crush it. Good. That's good enough. Okay. I'm locked. Lock it. You can let it go. I hope you don't have, have fat in there. I think you avoided it. I think I avoided it. I think I went about it. I'm gonna let, let go. Yep. I'm locked. Let's go. And that's good. And then that avoids putting your tips into the middle of a gall ladder. Nice. Yeah. That's really nice. Which especially it's inflamed is not a viable solution. Yeah. Okay. Okay. Um, do you, diggen, do you mind taking the camera from Kat? I'm, you're gonna be happier if you go. And then once he does, you can grab another grasper. Yeah. Perfect. The question's gonna be, did I really avoid that piece of fat right there? Oh, thank you. And then can we get the room lights down please? Absolutely. Nice. Thank you ladies."
40,"00:28:29,925","00:28:36,655",1 Instruction,1.1 Assessment,They discuss performing or evaluating a dissection or instrument movement.,You dig? Okay. Then she'll take another grasper.
41,"00:28:40,855","00:29:13,285",1 Instruction,1.2 Inquiry,They discuss adjusting the camera or view for better visualization.,"Do you want camera table down or do you wanna step Um, I was gonna say table down. And then actually, should we, before we, should we put her in, um, reverse trend down? You want more head up? Yeah, like more head up? Yeah. Can we get more head up? And then that's good. And we'll get the table down a little bit. Then can we get table down just a bit and she'll tell you when to stop demanding while we got everything positioned. Yeah, we can get spots off. Okay. Yeah. Thank you. Did you ladies need light? You good? You're good. Brent. Up to her. That's good. And then we get a little bit more head up."
42,"00:29:16,254","00:31:14,095",1 Instruction,1.3 Validation,They discuss manipulating or exposing the gallbladder and surrounding tissue.,"We have a footboard, right? Perfect. Yep, we do good. All right. This'll be good. Okay. So let's make sure I got the fat out of that. Not in my jaws, just gentle sweeps, sort of right where the top is. And I would use both hands if you can and just kind of take both pieces down. I would start, yeah, right up, right underneath my jaws. If you can't get there, you can try to find another plane and you can like grab a tiny piece of it and pull straight down. Just don't push into it. Yeah. Nice. And that looks nice and clear. Um, I'm gonna fix your, you must have worked out this morning. Your muscle I rip through. I would try, yeah. I try to grab the really wispy right up at the top, so I'd let go and draw right up at the top. Yeah. Right there with you. Nice. And when I came in the room I was like. Nice. Okay. And then you have to regrab with your left and come back at that area there. Perfect. Nice. And if you can't, you can always like hook right through that clear stuff if you need to, because that's clearly nice and clear. We just don't wanna rip. If we have can't. But you're doing great. Show it to yourself. Nice. Yeah. And you can hook that if you want to. Both this, yeah. Stay right where you are. So when you grab here, you want to rip there, right? But it can rip anywhere between here and there. That's what, yeah. And it's gonna rip in the weakest spot. The weakest spot is actually gonna be the fat. Okay. And what'll happen is you'll rip, the veins will break and it'll bleed and you won't be able to see anything. So you want to grab as close to the plane as you can so you don't rip fat. Okay. Yeah, exactly. You can use, you can always the other side of the plane too,"
43,"00:31:19,665","00:32:10,830",1 Instruction,1.3 Validation,They discuss adjusting the camera or view for better visualization.,"right? They're. Yeah. They need a little light to get a better view of what we're doing for the research project. Okay. So lemme troubleshoot. Okay. It's easier. You can hook that with your right hand or not. Yeah. I mean, if you can, if you wouldn't, because right there, if you grab right on the edge of that lip rather than the fat, you would've had it. So a smaller, smaller grab Yeah. Of that portion. Yeah, exactly. Nice. And you should be able to pull that down and you can use your right hand for tension against the gallbladder. And if you wanna hook it, you're totally fine to hook it because I don't want you to rip the fat or anything."
44,"00:32:20,610","00:32:30,360",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,"You're good. You're doing great. Yeah. I'd grab right where that thing wants to rip. Yeah, right. Like right there. Yeah. Nice."
45,"00:32:35,100","00:32:54,305",1 Instruction,1.3 Validation,They discuss performing or evaluating a dissection or instrument movement.,I was just gonna go. Yeah. Yeah. You can get your hook. I would hook it. What? I would hook it. Yeah.
46,"00:33:08,070","00:33:18,270",1 Instruction,1.3 Validation,They discuss manipulating or exposing the gallbladder and surrounding tissue.,"Yeah. Nice. Now you Yeah, you can heal that if you want to. Perfect. And then keep pulling with your left. Nice. Okay. I'd re grab, um, up on gallbladder."
47,"00:33:22,080","00:33:24,330",2 Management,2.2 Task assignment,They discuss procedural details or coordination during the operation.,"Oh, let's see."
48,"00:33:26,790","00:33:50,370",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,"Just be careful with that grab. You may wanna grab slightly more on that lip. Yeah, right there. Yeah. Nice. Oh yeah. Be careful once it gets too much. Okay. Nice."
49,"00:33:56,370","00:34:47,600",1 Instruction,1.3 Validation,They discuss adjusting the camera or view for better visualization.,"I wouldn't grab too low. I keep working where you're working on that. Perfect. A little bit. Yeah. You see that plane right there towards posterior, actually this sky right here? Yeah, right there. So if you grab that super wispy white stuff. Close to the gallbladder. Yeah, right there. Nice. That's a nice clear. You should be able to come down with, and you can pull out a hook if you need to, or you can just pull, is this, are you seeing reflection from the light? Me? Uh, my view's still totally fine screen. No, it's fine. You're not, 'cause it's should be bouncing down. Mm-hmm. But I wanna make sure it's not bouncing back to you. No, it's fine. Your image is okay. And you can, um, if you wanna hook that you can or you can keep pulling down. It's okay for now. Yeah. Well not Okay. The surgery. Yeah. Nice. You wanna hook that? If you need to totally fine."
50,"00:34:57,515","00:35:54,720",1 Instruction,1.3 Validation,They discuss performing or evaluating a dissection or instrument movement.,"Maybe come back for a sec day. 'cause she should find herself. I just called you day. Wow. A little nickname. Sorry. If like, if you were like, Hey, that's not my name, please tell us. Well, I made up a nickname of my own accord. Yeah. Where it's pulling, you have good tension right there. You can come through that wispy with your hook. I wouldn't, yeah. I wouldn't necessarily heal if I didn't have to just poke through. Yeah. Which is fine, but yeah. Nice. Yeah. And then come back through that hole. Nice. And then use your left hand a little bit more to give a better fan to keep that angle nice. Yeah, exactly. Okay. Nice. And now we're getting a little low. Just fine. I'd regrab with your left closer to that whisk."
51,"00:35:59,190","00:36:30,210",1 Instruction,1.3 Validation,They discuss manipulating or exposing the gallbladder and surrounding tissue.,"Uh, I'll have, I can, I can say like who? Nice. And just make sure you really thin it out. 'cause I can't see through all that fat right now. Yeah, you're good. Maybe grab that other lip. Yeah. I was thinking this other little wispy guy here might be a little, I grab, uh, maybe a little closer to gallbladder. I think you're grabbing a little too low. Yeah."
52,"00:36:36,270","00:36:50,990",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,"And I, yeah. And then use your left to fan sort of lateral if you can. Uh, lateral. Yeah. Yeah. That way you're showing yourself that hole better and stay really thin."
53,"00:36:53,060","00:38:39,825",1 Instruction,1.3 Validation,They discuss manipulating or exposing the gallbladder and surrounding tissue.,"Yeah. Nice. Now you have that hole. Perfect. Nice. Yeah, she's definitely had some chronic inflammation here. Huh? It's a little thick, but probably just fat. I was just looking to see if anything was down. Yeah, yeah, me too. Before, can you come in a little bit? Taken Nice. Yeah, that looks nice and clear. Just show yourself and use your left hand to keep pulling it lateral. Yeah. Nice. Yeah. See how you're showing it more with that. Nice. Perfect. Okay. Just be careful healing down into that 'cause you're getting close to. All right, well let me pull, do you mind coming back just a hair day again? I wanna take a peek at what kind of, there we go. Great. Nice. Then we'll come in and then Nice in the horizon hall a little bit. Other way. Other way. Uh, it'll be turning your hand and putting like, so this is to you? Yeah. You're gonna have to teach him. Oh my bad. How to do this. Sorry. I was thinking about the, I know dissection. This is the hard part. I know. Teaching to operate is the hardest thing done in my by far, so, so it's a lot of cognitive load. Okay. So you're gonna have to make sure my bad. Pay attention to everything. Right. Cool. And keep grabbing. Yeah. Nice and high on gallbladder. Where that pull that way. Don't pull that way. It's more likely to rip in the plane then and grab closer. Yeah, and I, yeah, like he said, grab closer."
54,"00:38:50,535","00:38:53,385",1 Instruction,1.3 Validation,They discuss performing or evaluating a dissection or instrument movement.,"Yeah, the end plane pulls. That's a really good point. Dr. George."
55,"00:38:59,535","00:40:05,560",1 Instruction,1.3 Validation,They discuss manipulating or exposing the gallbladder and surrounding tissue.,"Your time's off by middle, so grab it. So your right. See that little lip there? Fat. That's where you wanna be grabbing. I use a Maryland for this. It's usually more precise, but it doesn't matter really. Yeah, that's good. Nice. Good grab. I'm trying to think about how do I get my left hand in there to help me a little bit more? You can, what? What I do is I use my left hand strip and I use my right hand to grab if I want, if I have both. Otherwise, just she's your right hand and you use your right hand against her. Right hand. Okay. Yeah, that's a really good lip grab right there. Nice go. And then pull. Yeah. Nice and down. I think you can get that lip again with your Right. Nice. Good job. This may need to be a left hand lip grab. Yeah, right there. Yeah, exactly. And then remember pulling in planes so it's a little more down than lateral. Yeah, just right here. Here. Up there. Above. Right there. You can't see very well because There you go. There you go. Nice. A little above that."
56,"00:40:07,710","00:40:56,465",1 Instruction,1.3 Validation,They discuss adjusting the camera or view for better visualization.,"Like here? Yeah. And then you can rip with impunity because you know where it's gonna rest. Nice. And I'd swing back around digging if you can. Your place playing dancing with her. It's probably mild. Generally speaking here. This instrument, or this is for you, David? The instruments you want to point? Not on the top. It's coming on top. The instrument itself is blocking the view. If it comes off to the side, they can see around. Got it. So right there, she can't see behind her tip. Right. So you're gonna move back and forth and rotate the camera to get these things in corners or sides. Okay. Okay. Okay. Let's see how low we are. 'cause I'm seeing it's, it takes practice. Yeah. Okay. Nice. All right. Lemme give you a better retraction now that we're pulled a bit. Okay. I think you can get that one. Uh, super wispy lip down. Yeah."
57,"00:41:13,085","00:41:38,630",1 Instruction,1.3 Validation,They discuss performing or evaluating a dissection or instrument movement.,"This is really great. Yes. Nice job. This is perfect. For your learning. Oh yeah. I don't just be careful Too much of that. And you're learning. Yeah. Yeah. This is huge. Alright, sorry to again. So you're pulling up so much, you're making it pad, oh, I'm making it worse. See how it, it should unfold a little bit. It doesn't always work. Let's see. And it's, this is hard though 'cause that left road is like, it's right in the way. Creeping. Yeah."
58,"00:41:40,220","00:49:36,705",1 Instruction,1.3 Validation,They discuss adjusting the camera or view for better visualization.,"We still hang out. It really does. Okay. It's hard to see it as critical structure, so. Exactly. So if you can't see a structure, what can you do? So we can think about's, two options. Think about like camera angle or retraction. Okay, sure. Three options. We can like get the, like see if we can like kind of push this out. Good. That's number two. Yeah. What's the third option? Um, this is really important for laparoscopy. Move the tissue. It's like we do it all the time and I make that like an additional retractor port for that does No, sorry. Move the, move the thing you're operating on so you can move the things around so you can change your angle of view, which he's doing. Mm-hmm. You can change the things around you blocking your view or you can change what you're operating on. Okay. And if you grab the gall port out of the FSA and you're looking around, you can move it to where you can see. Nice. Okay. So we'll get that left hand Good grab like here kind of making sure though that we have like a good left. I don't know about that grab. That's where I wanna work. So there, yeah. Yeah, exactly. Little slip grab you and then pull Jeff Grab. I think you're going to um, be folding the tissue. A hair with that grab, which is like, this is my hardest thing. I'm trying to think of like going lateral like we talked about and kind of like rolling it into my instrument. Oh, you wanna go lateral? So where are you held up? Where you held up? Where do you want to dissect her? To dissect her? I wanna You have Q-tips open by any chance? I wanna get this. She's gonna give you a Q-tip Oh wow. At the screen with Cool. Okay. If the liver over outta the way she exposed for her to be able to see. I wanna get this down and I'm wanna dissect here. So I was trying to figure out how do I grab this, pull away. That's okay. Let still make sure that this, I can access this guy and like these whiskeys right here, I'll try to grab around here. I think that's a, that's gonna rip. Yeah, that's too, uh, you need a lot of tissue so it has more integrity. Yeah, exactly. So avoiding grabbing that and grabbing more on this side with. More tissue. So what I'm starting to see is this is gonna be in Right, exactly. I think we can, that's gonna be that turn. Mm-hmm. I talked about on this, on this model here. Mm-hmm. Mm-hmm. And then this stuff, you're still looking for that. I don't know where it is. I don't fat over there. Right. But we'll see it. Okay. That's where probably you're end up doing that move where you pull it out and suck it in. I'll, I bet you. But she's gotta get gun grab to really make a point. Right? Yeah. 'cause you know this is gonna roll. Right. Right. Okay. Now to get this down is our next step. I feel like we could either, I don't know if you're a big kitten or person versus just continuing to get, like, Marilyn, make a plane. Hook it. Sure. I, I am a, I'm fine kidding nurse, but I will usually don't use just Marilyn. Okay. I mean, it's not super in plain anything. I usually use a sucker if it's bad enough. Okay. And I think your left hand isn't helping you yet. No. Yeah. I think we were just, you know, coach her. Tell me what you want, not what you don't want. Okay. What do you want? I think I still want a bit more tissue. If you can get it. This is hard, Kat. This is the hardest part, in my opinion. Truly the problem is maybe I'm screwing you up. Maybe I'm holding too hard. Yeah, I'd grab right around there air. So I think it's too, the area you're making is you're not opening your grasper enough. That's okay. And put it all the way up. Push it all the way in. Okay. Right there. Yeah, push it all the way in now grab now. That's a good bite. Nice. Okay. And then you can, um, palm if you, if you're able Yeah, definitely palm. Yeah. I made my thumb numb for six months when I didn't palm. Oh yeah. That makes me so sad. It was a, it was a me problem. It. Cool. Um, I'm trying to think about Nice. I think Deon, if you don't mind coming back for a hot sec just so I can orient myself. Yeah. Okay. Nice. Yeah. See, I feel like I see that turn coming in there, so we're gonna have to clear off this area. Yeah. Yeah. If you're able to thin out any of that tissue, keeping that good pull with your left that you had, I think that, that gallbladder, I still think we're zoomed in. I hear too much. Yeah, I agree. There's such a bad glare. Yeah. Let's, let's clean it and just like chill for a hot sec. Okay. Okay. Because we gotta get that down. And once we have that down, you'll be able to get a better pull and we'll get a better idea of our anatomy. And then I know he likes to work sort of in that space right by the liver. Mm-hmm. First, yeah. My glasses. Is that what you're laughing at? No, I'm not laughing at all. I'm appreciating this moment. This is wonderful. Isn't this wonderful cat doing? We're helping this patient first and foremost, which is great. And second of all, you guys are learning. You're working together. Cat's doing a great job. We're all learning, frankly. It's great. Okay, so let's get re get that. Good grab. You had Kat. Oh, not too high. Your camera angle should be between, generally between 10 and two o'clock. Like where And you're, yeah. Generally between 10 and two. If you're on the left side over here looking here, it'll be 10. If you're over here it'll be two. Okay. Okay. We'll go. But you can definitely vary between, between two. Feel free to Okay. But you almost never should be looking straight off, unless you're simply looking at your abdominal wall. I feel like that's distorting our anatomy, but I think that you're still in step three. Yeah. I think the grab is just still gonna get that stuff done. Yeah. Okay. I think there's more to go. Okay. But, and I think it's too high. Is that what you say too? Yeah. Too high. And I think that it's getting, um, twisted. It's hard to see. Like can you, can you do us a favor and just move this liver outta the way for a second? Let's just take a look. Yeah. What we got over there? Okay. And then can you grab right there? Kind of, this is in pw. You see it there? Yeah. Grab right in in. Be grabbing some of that fat. There's vessel arter, arteries there. Arties there. That ridge. The ridge is there. Artery almost certainly. Push in. No, no, no. Come on. That's it. Now pull this way towards the hip. It's hard. You got it. It's the hardest part of the truly seven year program. You're good. I still struggle with the ground crushed. Yeah, you're not, you're not getting your, once you push in, push in and engage. There you go. Now grab it. That's it. Nice. Okay, now let's look behind here. Megan, you do at too nice. Okay. Okay, so I see gallbladder here still. So it's gonna be down there, I think. Which is hard. Yeah's, that's just hard. So I, but I see this here, so I'm gonna guess it's right there. So, because you can't see back here, I would actually start just scoring right there to be honest. You think so that Yeah. I'm sorry I didn't ask you what you want to do that. No, that's why I'm, that's totally fine. I would love What are you thinking? I think it's little too late. No, that's fine. I was gonna say, I think we could take this shitty tissue there, you that for sure. And get that down percent that may give, give us a little more freedom. So that's good. And I'm sorry I didn't say that explicitly. I was wondering if we do that too, but if we're too low, we're doing stuff we don't need to do. It's not useful. I don't think we are. I think that's stuff's actually very useful. I think plane wanted come across this here. Yeah, I think so too. Okay. Because I could see our gall water turning there. Yeah, I that's what I'm seeing too. Yeah. Okay, great. In, in whatever order you wanna do, that's fine. As long as we have the same mental model. Yeah. Up to you Kat. If you want to keep thinning with that versus if you wanna do like layer by layer, getting through, through hook thinning and taking it. Good technique. I think layer like going. Um, let's see. Where if like taking a layer helps out. Yes, I think so too. I think that, um, it'll be better with the hook faster and, uh."
59,"00:49:46,510","00:50:07,660",1 Instruction,1.3 Validation,They confirm that the current action or position looks correct.,"Nice. And then come in a bit digging. Yeah. And we're gonna get this schmutz here. I feel like you have an anterior lip you can take. Yeah, I'd come in on that side and that'd get this, this guy. So come in like this. Yeah. And I'd say about right there. Yeah. A little lower. Yeah,"
60,"00:50:09,010","00:50:11,800",1 Instruction,1.1 Assessment,They discuss performing or evaluating a dissection or instrument movement.,"just get your hook through, thin it out. Make sure it's safe."
